     1→     1→     1→[
   624→   624→   624→    "row": 1237,
   625→   625→   625→    "data": [
   626→   626→   626→      "Biology",
   627→   627→   627→      2.0,
   628→   628→   628→      "जीव जगत का वर्गीकरण",
   629→   629→   629→      "Hindi",
   630→   630→   630→      "गलत कथन का चयन करें।",
   631→   631→   631→      "(a) डायटम (diatoms) की दीवारें आसानी से नष्ट हो जाती हैं",
   632→   632→   632→      "(b) 'Diatomaceous earth' डायटम की कोशिका भित्ति से बनती है",
   633→   633→   633→      "(c) डायटम महासागरों में मुख्य उत्पादक (chief producers) हैं",
   634→   634→   634→      "(d) डायटम सूक्ष्म होते हैं और पानी में निष्क्रिय रूप से तैरते हैं",
   635→   635→   635→      1.0,
   636→   636→   636→      "डायटम जटिल संरचना वाली कोशिका भित्ति का निर्माण करते हैं जो सिलिका (SiO2) से बनी होती है, जिससे वे अविनाशी (indestructible) हो जाते हैं।",
   637→   637→   637→      "NEET",
   638→   638→   638→      2016.0,
   639→   639→   639→      null
   640→   640→   640→    ]
   641→   641→   641→  },
   642→   642→   642→  {
   643→   643→   643→    "sheet": "Class11",
   644→   644→   644→    "row": 1238,
   645→   645→   645→    "data": [
   646→   646→   646→      "Biology",
   647→   647→   647→      2.0,
   648→   648→   648→      "जीव जगत का वर्गीकरण",
   649→   649→   649→      "Hindi",
   650→   650→   650→      "गलत कथन चुनें।",
   651→   651→   651→      "(a) Animalia में कोशिका भित्ति (Cell wall) अनुपस्थित होती है",
   652→   652→   652→      "(b) Protista में पोषण के प्रकाश संश्लेषक और हेटरोट्रॉफिक तरीके होते हैं",
   653→   653→   653→      "(c) कुछ कवक (fungi) खाने योग्य होते हैं",
   654→   654→   654→      "(d) Monera में परमाणु झिल्ली (Nuclear membrane) मौजूद होती है",
   655→   655→   655→      4.0,
   656→   656→   656→      "Monera में प्रोकैरियोटिक कोशिका संगठन वाले एककोशिकीय जीव होते हैं जिनमें परमाणु झिल्ली (nuclear membrane) की कमी होती है।",
   657→   657→   657→      "CBSE AIPMT",
   658→   658→   658→      2015.0,
   659→   659→   659→      null
   660→   660→   660→    ]
   661→   661→   661→  },
   662→   662→   662→  {
   663→   663→   663→    "sheet": "Class11",
   664→   664→   664→    "row": 1239,
   665→   665→   665→    "data": [
   666→   666→   666→      "Biology",
   667→   667→   667→      2.0,
   668→   668→   668→      "जीव जगत का वर्गीकरण",
   669→   669→   669→      "Hindi",
   670→   670→   670→      "जीवों के किस समूह में कोशिका भित्ति दो पतले अतिव्यापी कवच (overlapping shells) बनाती है जो एक साथ फिट होते हैं?",
   671→   671→   671→      "(a) Chrysophytes",
   672→   672→   672→      "(b) Euglenoids",
   673→   673→   673→      "(c) Dinoflagellates",
   674→   674→   674→      "(d) Slime moulds",
   675→   675→   675→      1.0,
   676→   676→   676→      "डायटम (Chrysophytes) में, कोशिका भित्ति दो पतली अतिव्यापी कोशिकाओं का निर्माण करती है, जो साबुन के डिब्बे की तरह एक साथ फिट होती हैं।",
   677→   677→   677→      "CBSE AIPMT",
   678→   678→   678→      2015.0,
   679→   679→   679→      null
   680→   680→   680→    ]
   681→   681→   681→  },
   682→   682→   682→  {
   683→   683→   683→    "sheet": "Class11",
   684→   684→   684→    "row": 1240,
   685→   685→   685→    "data": [
   686→   686→   686→      "Biology",
   687→   687→   687→      2.0,
   688→   688→   688→      "जीव जगत का वर्गीकरण",
   689→   689→   689→      "Hindi",
   690→   690→   690→      "Trypanosoma, Noctiluca, Monocystis और Giardia में क्या सामान्य है?",
   691→   691→   691→      "(a) ये सभी एककोशिकीय प्रोटिस्ट (unicellular protists) हैं",
   692→   692→   692→      "(b) उनके पास फ्लैगेला (flagella) हैं",
   693→   693→   693→      "(c) वे बीजाणु (spores) पैदा करते हैं",
   694→   694→   694→      "(d) ये सभी परजीवी (parasites) हैं",
   695→   695→   695→      1.0,
   696→   696→   696→      "Trypanosoma, Noctiluca, Monocystis और Giardia सभी एककोशिकीय प्रोटिस्ट हैं।",
   697→   697→   697→      "CBSE AIPMT",
   698→   698→   698→      2006.0,
   699→   699→   699→      null
   700→   700→   700→    ]
   701→   701→   701→  },
   702→   702→   702→  {
   703→   703→   703→    "sheet": "Class11",
   704→   704→   704→    "row": 1241,
   705→   705→   705→    "data": [
   706→   706→   706→      "Biology",
   707→   707→   707→      2.0,
   708→   708→   708→      "जीव जगत का वर्गीकरण",
   709→   709→   709→      "Hindi",
   710→   710→   710→      "Auxospores और hormocysts क्रमशः किसके द्वारा बनते हैं?",
   711→   711→   711→      "(a) कई diatoms और कुछ cyanobacteria",
   712→   712→   712→      "(b) कई cyanobacteria और कई diatoms",
   713→   713→   713→      "(c) कुछ diatoms और कई cyanobacteria",
   714→   714→   714→      "(d) कुछ cyanobacteria और कई diatoms",
   715→   715→   715→      1.0,
   716→   716→   716→      "Auxospores डायटम द्वारा बनते हैं और hormocysts कुछ सायनोबैक्टीरिया द्वारा बनते हैं।",
   717→   717→   717→      "CBSE AIPMT",
   718→   718→   718→      2005.0,
   719→   719→   719→      null
   720→   720→   720→    ]
   721→   721→   721→  },
   722→   722→   722→  {
   723→   723→   723→    "sheet": "Class11",
   724→   724→   724→    "row": 1242,
   725→   725→   725→    "data": [
   726→   726→   726→      "Biology",
   727→   727→   727→      2.0,
   728→   728→   728→      "जीव जगत का वर्गीकरण",
   729→   729→   729→      "Hindi",
   730→   730→   730→      "निम्नलिखित में से किस एककोशिकीय जीव में ट्रॉफिक (trophic) कार्य के लिए एक मैक्रो-न्यूक्लियस (macro-nucleus) और प्रजनन के लिए एक या अधिक माइक्रो-न्यूक्लिआई (micro-nuclei) होते हैं?",
   731→   731→   731→      "(a) Euglena",
   732→   732→   732→      "(b) Amoeba",
   733→   733→   733→      "(c) Paramecium",
   734→   734→   734→      "(d) Trypanosoma",
   735→   735→   735→      3.0,
   736→   736→   736→      "Paramecium हेटेरोकैरियोटिक (heterokaryotic) है, जिसमें वनस्पति कार्यों के लिए एक मैक्रोन्यूक्लियस और प्रजनन के लिए एक माइक्रोन्यूक्लियस होता है।",
   737→   737→   737→      "CBSE AIPMT",
   738→   738→   738→      2005.0,
   739→   739→   739→      null
   740→   740→   740→    ]
   741→   741→   741→  },
   742→   742→   742→  {
   743→   743→   743→    "sheet": "Class11",
   744→   744→   744→    "row": 1243,
   745→   745→   745→    "data": [
   746→   746→   746→      "Biology",
   747→   747→   747→      2.0,
   748→   748→   748→      "जीव जगत का वर्गीकरण",
   749→   749→   749→      "Hindi",
   750→   750→   750→      "जब एक संकुचनशील रिक्तिका (contractile vacuole) रखने वाले मीठे पानी के प्रोटोजोआ को समुद्री पानी वाले गिलास में रखा जाता है, तो रिक्तिका",
   751→   751→   751→      "(a) संख्या में वृद्धि होगी",
   752→   752→   752→      "(b) गायब हो जाएगी",
   753→   753→   753→      "(c) आकार में वृद्धि होगी",
   754→   754→   754→      "(d) आकार में कमी आएगी",
   755→   755→   755→      2.0,
   756→   756→   756→      "हाइपरटोनिक समुद्री जल में, एंडोस्मोसिस (endosmosis) नहीं होता है, इसलिए ओस्मोरेगुलेशन (osmoregulation) के लिए उपयोग की जाने वाली संकुचनशील रिक्तिका गायब हो जाती है।",
   757→   757→   757→      "CBSE AIPMT",
   758→   758→   758→      2004.0,
   759→   759→   759→      null
   760→   760→   760→    ]
   761→   761→   761→  },
   762→   762→   762→  {
   763→   763→   763→    "sheet": "Class11",
   764→   764→   764→    "row": 1244,
   765→   765→   765→    "data": [
   766→   766→   766→      "Biology",
   767→   767→   767→      2.0,
   768→   768→   768→      "जीव जगत का वर्गीकरण",
   769→   769→   769→      "Hindi",
   770→   770→   770→      "एक Amoeba के लिए encystment का मुख्य लाभ है",
   771→   771→   771→      "(a) संचित अपशिष्ट उत्पादों से छुटकारा पाने का मौका",
   772→   772→   772→      "(b) प्रतिकूल भौतिक परिस्थितियों के दौरान जीवित रहने की क्षमता",
   773→   773→   773→      "(c) भोजन किए बिना कुछ समय तक जीवित रहने की क्षमता",
   774→   774→   774→      "(d) परजीवियों और शिकारियों से सुरक्षा",
   775→   775→   775→      2.0,
   776→   776→   776→      "Encystment अमीबा को सूखे और अत्यधिक तापमान जैसी प्रतिकूल परिस्थितियों से उबरने में मदद करता है।",
   777→   777→   777→      "CBSE AIPMT",
   778→   778→   778→      2003.0,
   779→   779→   779→      null
   780→   780→   780→    ]
   781→   781→   781→  },
   782→   782→   782→  {
   783→   783→   783→    "sheet": "Class11",
   784→   784→   784→    "row": 1245,
   785→   785→   785→    "data": [
   786→   786→   786→      "Biology",
   787→   787→   787→      2.0,
   788→   788→   788→      "जीव जगत का वर्गीकरण",
   789→   789→   789→      "Hindi",
   790→   790→   790→      "किस जानवर में द्विरूपी केंद्रक (dimorphic nucleus) पाया जाता है?",
   791→   791→   791→      "(a) Amoeba",
   792→   792→   792→      "(b) Trypanosoma gambiense",
   793→   793→   793→      "(c) Plasmodium vivax",
   794→   794→   794→      "(d) Paramecium caudatum",
   795→   795→   795→      4.0,
   796→   796→   796→      "Paramecium में एक द्विरूपी परमाणु तंत्र (dimorphic nuclear apparatus) (मैक्रोन्यूक्लियस और माइक्रोन्यूक्लियस) होता है।",
   797→   797→   797→      "CBSE AIPMT",
   798→   798→   798→      2002.0,
   799→   799→   799→      null
   800→   800→   800→    ]
   801→   801→   801→  },
   802→   802→   802→  {
   803→   803→   803→    "sheet": "Class11",
   804→   804→   804→    "row": 1246,
   805→   805→   805→    "data": [
   806→   806→   806→      "Biology",
   807→   807→   807→      2.0,
   808→   808→   808→      "जीव जगत का वर्गीकरण",
   809→   809→   809→      "Hindi",
   810→   810→   810→      "एक्स्ट्रा-न्यूक्लियर इनहेरिटेंस (Extranuclear inheritance) किसमें होता है?",
   811→   811→   811→      "(a) Paramecium में killer strain",
   812→   812→   812→      "(b) वर्णांधता (colour blindness)",
   813→   813→   813→      "(c) फिनाइलकेटोनुरिया (phenylketonuria)",
   814→   814→   814→      "(d) Tay Sachs रोग",
   815→   815→   815→      1.0,
   816→   816→   816→      "Paramecium कापा कणों (Kappa particles) की उपस्थिति के कारण साइटोप्लाज्मिक वंशानुक्रम (cytoplasmic inheritance) प्रदर्शित करता है।",
   817→   817→   817→      "CBSE AIPMT",
   818→   818→   818→      2001.0,
   819→   819→   819→      null
   820→   820→   820→    ]
   821→   821→   821→  },
   822→   822→   822→  {
   823→   823→   823→    "sheet": "Class11",
   824→   824→   824→    "row": 1247,
   825→   825→   825→    "data": [
   826→   826→   826→      "Biology",
   827→   827→   827→      2.0,
   828→   828→   828→      "जीव जगत का वर्गीकरण",
   829→   829→   829→      "Hindi",
   830→   830→   830→      "निम्नलिखित में से किस जीव में पौधे और जानवर दोनों की विशेषताएं होती हैं?",
   831→   831→   831→      "(a) Bacteria",
   832→   832→   832→      "(b) Mycoplasma",
   833→   833→   833→      "(c) Euglena",
   834→   834→   834→      "(d) Paramecium",
   835→   835→   835→      3.0,
   836→   836→   836→      "Euglena में क्लोरोफिल (पौधे जैसा) होता है लेकिन सूर्य के प्रकाश की अनुपस्थिति में यह जानवरों की तरह भोजन करता है (जानवर जैसा)।",
   837→   837→   837→      "CBSE AIPMT",
   838→   838→   838→      1995.0,
   839→   839→   839→      null
   840→   840→   840→    ]
   841→   841→   841→  },
   842→   842→   842→  {
   843→   843→   843→    "sheet": "Class11",
   844→   844→   844→    "row": 1248,
   845→   845→   845→    "data": [
   846→   846→   846→      "Biology",
   847→   847→   847→      2.0,
   848→   848→   848→      "जीव जगत का वर्गीकरण",
   849→   849→   849→      "Hindi",
   850→   850→   850→      "Macro और micronucleus किसकी विशेषता है?",
   851→   851→   851→      "(a) Paramecium और Vorticella",
   852→   852→   852→      "(b) Opelina और Nictothirus",
   853→   853→   853→      "(c) Hydra और Ballantidium",
   854→   854→   854→      "(d) Vorticella और Nictothirus",
   855→   855→   855→      1.0,
   856→   856→   856→      "Paramecium और Vorticella में द्विरूपी केंद्रक (heterokaryotic) होते हैं।",
   857→   857→   857→      "CBSE AIPMT",
   858→   858→   858→      1995.0,
   859→   859→   859→      null
   860→   860→   860→    ]
   861→   861→   861→  },
   862→   862→   862→  {
   863→   863→   863→    "sheet": "Class11",
   864→   864→   864→    "row": 1250,
   865→   865→   865→    "data": [
   866→   866→   866→      "Biology",
   867→   867→   867→      2.0,
   868→   868→   868→      "Biological Classification",
   869→   869→   869→      "English",
   870→   870→   870→      "When a freshwater protozoan possessing a contractile vacuole, is placed in a glass containing marine water, the vacuole will",
   871→   871→   871→      "(a) increase in number",
   872→   872→   872→      "(b) disappear",
   873→   873→   873→      "(c) increase in size",
   874→   874→   874→      "(d) decrease in size",
   875→   875→   875→      2.0,
   876→   876→   876→      "Freshwater protozoans live in hypotonic solution so, for regulation of excess of water which comes in the protoplasm through the process of endosmosis, contractile vacuoles have developed. When these protozoans are placed in marine water, i.e. hypertonic water, the contractile vacuoles disappear because the process of endosmosis does not happen and thus, water does not come in the protoplasm.",
   877→   877→   877→      "CBSE AIPMT",
   878→   878→   878→      2004.0,
   879→   879→   879→      null
   880→   880→   880→    ]
   881→   881→   881→  },
   882→   882→   882→  {
   883→   883→   883→    "sheet": "Class11",
   884→   884→   884→    "row": 1251,
   885→   885→   885→    "data": [
   886→   886→   886→      "Biology",
   887→   887→   887→      2.0,
   888→   888→   888→      "Biological Classification",
   889→   889→   889→      "English",
   890→   890→   890→      "In Protozoa like Amoeba and Paramecium ,an organelle is found for osmoregulation which is",
   891→   891→   891→      "(a) contractile vacuole",
   892→   892→   892→      "(b) mitochondria",
   893→   893→   893→      "(c) nucleus",
   894→   894→   894→      "(d) food vacuole",
   895→   895→   895→      1.0,
   896→   896→   896→      "Unicellular organisms such as Amoeba, Paramecium have some organelles called contractile vacuole for excretion. These are freshwater animals, i.e. they live in hypotonic solution. Therefore, water flows from outside to inside of the body of the organism. The contractile vacuoles in these organisms collect this excess water and gradually increase in size. When the vacuoles reach a critical size they contract, squeezing out their contents through the process of simple diffusion.",
   897→   897→   897→      "CBSE AIPMT",
   898→   898→   898→      2002.0,
   899→   899→   899→      null
   900→   900→   900→    ]
   901→   901→   901→  },
   902→   902→   902→  {
   903→   903→   903→    "sheet": "Class11",
   904→   904→   904→    "row": 1252,
   905→   905→   905→    "data": [
   906→   906→   906→      "Biology",
   907→   907→   907→      2.0,
   908→   908→   908→      "Biological Classification",
   909→   909→   909→      "English",
   910→   910→   910→      "Excretion in Amoeba occurs through",
   911→   911→   911→      "(a) lobopodia",
   912→   912→   912→      "(b) uroid portion",
   913→   913→   913→      "(c) plasma membrane",
   914→   914→   914→      "(d) contractile vacuole",
   915→   915→   915→      4.0,
   916→   916→   916→      "Endoplasm of Amoeba in the posterior part contains a single clear rounded and pulsating contractile vacuole. Contractile vacuole is analogous to uriniferous tubules of frog, it functions in excretion and osmoregulation.",
   917→   917→   917→      "CBSE AIPMT",
   918→   918→   918→      1995.0,
   919→   919→   919→      null
   920→   920→   920→    ]
   921→   921→   921→  },
   922→   922→   922→  {
   923→   923→   923→    "sheet": "Class11",
   924→   924→   924→    "row": 1253,
   925→   925→   925→    "data": [
   926→   926→   926→      "Biology",
   927→   927→   927→      2.0,
   928→   928→   928→      "Biological Classification",
   929→   929→   929→      "English",
   930→   930→   930→      "Protistan genome has",
   931→   931→   931→      "(a) membrane bound nucleoproteins embedded in cytoplasm",
   932→   932→   932→      "(b) free nucleic acid aggregates",
   933→   933→   933→      "(c) gene containing nucleoproteins condensed together in loose mass",
   934→   934→   934→      "(d) nucleoprotein in direct contact with cell substance",
   935→   935→   935→      1.0,
   936→   936→   936→      "Eukaryotic (e.g. protistan) genome is organised in the form of nucleus. It is differentiated into nuclear envelope, chromatin, one or more nucleoli and nucleoplasm. Nuclear DNA is linear, associated with histone proteins. A small quantity of DNA is also found in the plastids and mitochondria. In contrast, prokaryotic (bacterial) DNA is circular and lies freely in the cytoplasm.",
   937→   937→   937→      "CBSE AIPMT",
   938→   938→   938→      1994.0,
   939→   939→   939→      null
   940→   940→   940→    ]
   941→   941→   941→  },
   942→   942→   942→  {
   943→   943→   943→    "sheet": "Class11",
   944→   944→   944→    "row": 1254,
   945→   945→   945→    "data": [
   946→   946→   946→      "Biology",
   947→   947→   947→      2.0,
   948→   948→   948→      "Biological Classification",
   949→   949→   949→      "English",
   950→   950→   950→      "Entamoeba coli causes",
   951→   951→   951→      "(a) pyorrhoea",
   952→   952→   952→      "(b) diarrhoea",
   953→   953→   953→      "(c) dysentery",
   954→   954→   954→      "(d) None of these",
   955→   955→   955→      4.0,
   956→   956→   956→      "Entamoeba coli is the common parasitic genera of phylum—Protozoa. It harbours the upper part of large intestine (colon) and very often in the liver, brain and testes and causes constipation.",
   957→   957→   957→      "CBSE AIPMT",
   958→   958→   958→      1994.0,
   959→   959→   959→      null
   960→   960→   960→    ]
   961→   961→   961→  },
   962→   962→   962→  {
   963→   963→   963→    "sheet": "Class11",
   964→   964→   964→    "row": 1255,
   965→   965→   965→    "data": [
   966→   966→   966→      "Biology",
   967→   967→   967→      2.0,
   968→   968→   968→      "Biological Classification",
   969→   969→   969→      "English",
   970→   970→   970→      "Protists obtain food as",
   971→   971→   971→      "(a) photosynthesisers, symbionts and holotrophs",
   972→   972→   972→      "(b) photosynthesisers",
   973→   973→   973→      "(c) chemosynthesisers",
   974→   974→   974→      "(d) holotrophs",
   975→   975→   975→      1.0,
   976→   976→   976→      "Protistans have variable modes of nutrition. They are photosynthetic heterotrophic, i.e. saprophytic, parasitic and ingestive.",
   977→   977→   977→      "CBSE AIPMT",
   978→   978→   978→      1994.0,
   979→   979→   979→      null
   980→   980→   980→    ]
   981→   981→   981→  },
   982→   982→   982→  {
   983→   983→   983→    "sheet": "Class11",
   984→   984→   984→    "row": 1256,
   985→   985→   985→    "data": [
   986→   986→   986→      "Biology",
   987→   987→   987→      2.0,
   988→   988→   988→      "Biological Classification",
   989→   989→   989→      "English",
   990→   990→   990→      "African sleeping sickness is due to",
   991→   991→   991→      "(a) Plasmodium vivax transmitted by tse-tse fly",
   992→   992→   992→      "(b) Trypanosoma lewsii transmitted by bed bug",
   993→   993→   993→      "(c) Trypanosoma gambiense transmitted by Glossina palpalis",
   994→   994→   994→      "(d) Entamoeba gingivalis spread by house fly",
   995→   995→   995→      3.0,
   996→   996→   996→      "The disease African sleeping sickness is caused by Trypanosoma gambiense and this is transmitted by tse-tse fly (Glossina palpalis ).",
   997→   997→   997→      "CBSE AIPMT",
   998→   998→   998→      1991.0,
   999→   999→   999→      null
  1000→  1000→  1000→    ]
  1001→  1001→  1001→  }
  1002→  1002→  1002→]
