     1→     1→{
     2→     2→ "batch": 13,
     3→     3→ "questions": [
   521→   521→   "Question": "Carbon forms four covalent bonds by sharing its four valence electrons with four univalent atoms, e.g., hydrogen. After the formation of four bonds, carbon attains the electronic configuration of:",
   522→   522→   "Option 1": "Helium",
   523→   523→   "Option 2": "Neon",
   524→   524→   "Option 3": "Argon",
   525→   525→   "Option 4": "Krypton",
   526→   526→   "Correct Option": "2.0",
   527→   527→   "Explanation": "Carbon (atomic number 6, configuration 2,4) shares 4 electrons to get a total of 10 electrons, which is the configuration of Neon.",
   528→   528→   "Exam": "CBSE",
   529→   529→   "Year": "2018.0",
   530→   530→   "_sheet_row": 634
   531→   531→  },
   532→   532→  {
   533→   533→   "Subject": "Science",
   534→   534→   "Chapter No.": "4.0",
   535→   535→   "Chapter Name": "Carbon and its Compounds",
   536→   536→   "Medium": "English",
   537→   537→   "Question": "The IUPAC name of the compound $CH_3-CH_2-CHO$ is:",
   538→   538→   "Option 1": "Propanol",
   539→   539→   "Option 2": "Propanal",
   540→   540→   "Option 3": "Propanoic acid",
   541→   541→   "Option 4": "Propanone",
   542→   542→   "Correct Option": "2.0",
   543→   543→   "Explanation": "The compound has 3 carbon atoms (Prop-) and an aldehyde functional group (-CHO), so its name is Propanal.",
   544→   544→   "Exam": "HBSE",
   545→   545→   "Year": "2022.0",
   546→   546→   "_sheet_row": 635
   547→   547→  },
   548→   548→  {
   549→   549→   "Subject": "Science",
   550→   550→   "Chapter No.": "4.0",
   551→   551→   "Chapter Name": "Carbon and its Compounds",
   552→   552→   "Medium": "English",
   553→   553→   "Question": "Which allotrope of carbon is used as a lubricant and in pencils?",
   554→   554→   "Option 1": "Diamond",
   555→   555→   "Option 2": "Graphite",
   556→   556→   "Option 3": "Fullerene",
   557→   557→   "Option 4": "Coke",
   558→   558→   "Correct Option": "2.0",
   559→   559→   "Explanation": "Graphite has a layered structure with weak forces between layers, making it soft and slippery.",
   560→   560→   "Exam": "MP Board",
   561→   561→   "Year": "2021.0",
   562→   562→   "_sheet_row": 636
   563→   563→  },
   564→   564→  {
   565→   565→   "Subject": "Science",
   566→   566→   "Chapter No.": "4.0",
   567→   567→   "Chapter Name": "Carbon and its Compounds",
   568→   568→   "Medium": "English",
   569→   569→   "Question": "The first member of the Alkyne homologous series is:",
   570→   570→   "Option 1": "Ethyne",
   571→   571→   "Option 2": "Methene",
   572→   572→   "Option 3": "Methyne",
   573→   573→   "Option 4": "Ethene",
   574→   574→   "Correct Option": "1.0",
   575→   575→   "Explanation": "Since a triple bond requires at least two carbon atoms, the series starts with Ethyne ($C_2H_2$), also known as Acetylene.",
   576→   576→   "Exam": "CBSE",
   577→   577→   "Year": "2023.0",
   578→   578→   "_sheet_row": 637
   579→   579→  },
   580→   580→  {
   581→   581→   "Subject": "Science",
   582→   582→   "Chapter No.": "4.0",
   583→   583→   "Chapter Name": "Carbon and its Compounds",
   584→   584→   "Medium": "English",
   585→   585→   "Question": "Carbon exists in the atmosphere in the form of:",
   586→   586→   "Option 1": "Carbon monoxide only",
   587→   587→   "Option 2": "Carbon monoxide in traces and carbon dioxide",
   588→   588→   "Option 3": "Carbon dioxide only",
   589→   589→   "Option 4": "Coal",
   590→   590→   "Correct Option": "2.0",
   591→   591→   "Explanation": "Atmospheric carbon is primarily present as $CO_2$ (approx 0.03%) and traces of $CO$.",
   592→   592→   "Exam": "CBSE",
   593→   593→   "Year": "2021.0",
   594→   594→   "_sheet_row": 638
   595→   595→  },
   596→   596→  {
   597→   597→   "Subject": "Science",
   598→   598→   "Chapter No.": "4.0",
   599→   599→   "Chapter Name": "Carbon and its Compounds",
   600→   600→   "Medium": "English",
   601→   601→   "Question": "Which of the following does not belong to the same homologous series?",
   602→   602→   "Option 1": "$CH_4$",
   603→   603→   "Option 2": "$C_2H_6$",
   604→   604→   "Option 3": "$C_3H_8$",
   605→   605→   "Option 4": "$C_4H_8$",
   606→   606→   "Correct Option": "4.0",
   607→   607→   "Explanation": "$CH_4, C_2H_6$, and $C_3H_8$ follow the Alkane formula ($C_nH_{2n+2}$). $C_4H_8$ follows the Alkene formula ($C_nH_{2n}$).",
   608→   608→   "Exam": "CBSE",
   609→   609→   "Year": "2022.0",
   610→   610→   "_sheet_row": 639
   611→   611→  },
   612→   612→  {
   613→   613→   "Subject": "Science",
   614→   614→   "Chapter No.": "4.0",
   615→   615→   "Chapter Name": "Carbon and its Compounds",
   616→   616→   "Medium": "English",
   617→   617→   "Question": "Which gas is evolved when Ethanoic acid reacts with Sodium Carbonate?",
   618→   618→   "Option 1": "$H_2$",
   619→   619→   "Option 2": "$CO_2$",
   620→   620→   "Option 3": "$O_2$",
   621→   621→   "Option 4": "$CH_4$",
   622→   622→   "Correct Option": "2.0",
   623→   623→   "Explanation": "Like mineral acids, ethanoic acid reacts with carbonates to produce salt, water, and Carbon Dioxide gas.",
   624→   624→   "Exam": "CBSE",
   625→   625→   "Year": "2019.0",
   626→   626→   "_sheet_row": 640
   627→   627→  },
   628→   628→  {
   629→   629→   "Subject": "Science",
   630→   630→   "Chapter No.": "4.0",
   631→   631→   "Chapter Name": "Carbon and its Compounds",
   632→   632→   "Medium": "English",
   633→   633→   "Question": "The valency of carbon is:",
   634→   634→   "Option 1": "2.0",
   635→   635→   "Option 2": "3.0",
   636→   636→   "Option 3": "4.0",
   637→   637→   "Option 4": "1.0",
   638→   638→   "Correct Option": "3.0",
   639→   639→   "Explanation": "Carbon has 4 electrons in its outermost shell and shares them to form 4 covalent bonds, thus its valency is 4 (tetravalency).",
   640→   640→   "Exam": "Bihar Board",
   641→   641→   "Year": "2020.0",
   642→   642→   "_sheet_row": 641
   643→   643→  },
   644→   644→  {
   645→   645→   "Subject": "Science",
   646→   646→   "Chapter No.": "4.0",
   647→   647→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   648→   648→   "Medium": "Hindi",
   649→   649→   "Question": "कार्बन यौगिकों द्वारा आमतौर पर कौन सा गुण प्रदर्शित नहीं किया जाता है?",
   650→   650→   "Option 1": "विद्युत का सुचालक होना",
   651→   651→   "Option 2": "कम गलनांक और क्वथनांक",
   652→   652→   "Option 3": "सहसंयोजक बंधन",
   653→   653→   "Option 4": "कार्बनिक विलायकों में घुलनशीलता",
   654→   654→   "Correct Option": "1.0",
   655→   655→   "Explanation": "अधिकांश कार्बन यौगिक विद्युत के कुचालक होते हैं क्योंकि वे प्रकृति में सहसंयोजक होते हैं और आयनों का निर्माण नहीं करते हैं।",
   656→   656→   "Exam": "CBSE",
   657→   657→   "Year": "2020.0",
   658→   658→   "_sheet_row": 642
   659→   659→  },
   660→   660→  {
   661→   661→   "Subject": "Science",
   662→   662→   "Chapter No.": "4.0",
   663→   663→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   664→   664→   "Medium": "Hindi",
   665→   665→   "Question": "सहसंयोजक बंधों के माध्यम से लंबी श्रृंखला बनाने के लिए कार्बन परमाणुओं के स्व-जुड़ने के गुण को क्या कहते हैं?",
   666→   666→   "Option 1": "अपररूपता",
   667→   667→   "Option 2": "शृंखलन (Catenation)",
   668→   668→   "Option 3": "समावयवता",
   669→   669→   "Option 4": "बहुलीकरण",
   670→   670→   "Correct Option": "2.0",
   671→   671→   "Explanation": "शृंखलन कार्बन की वह अनूठी क्षमता है जिसके द्वारा वह कार्बन के अन्य परमाणुओं के साथ बंध बनाकर लंबी श्रृंखला वाले अणु बनाता है।",
   672→   672→   "Exam": "CBSE",
   673→   673→   "Year": "2018.0",
   674→   674→   "_sheet_row": 643
   675→   675→  },
   676→   676→  {
   677→   677→   "Subject": "Science",
   678→   678→   "Chapter No.": "4.0",
   679→   679→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   680→   680→   "Medium": "Hindi",
   681→   681→   "Question": "एथेन ($C_2H_6$) के एक अणु में कितने सहसंयोजक बंध मौजूद होते हैं?",
   682→   682→   "Option 1": "6.0",
   683→   683→   "Option 2": "7.0",
   684→   684→   "Option 3": "8.0",
   685→   685→   "Option 4": "9.0",
   686→   686→   "Correct Option": "2.0",
   687→   687→   "Explanation": "एथेन में, 1 C-C बंध और 6 C-H बंध होते हैं, जिससे कुल 7 सहसंयोजक बंध बनते हैं।",
   688→   688→   "Exam": "CBSE",
   689→   689→   "Year": "2019.0",
   690→   690→   "_sheet_row": 644
   691→   691→  },
   692→   692→  {
   693→   693→   "Subject": "Science",
   694→   694→   "Chapter No.": "4.0",
   695→   695→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   696→   696→   "Medium": "Hindi",
   697→   697→   "Question": "बेंजीन का सही सूत्र निम्नलिखित में से कौन सा है?",
   698→   698→   "Option 1": "C6H12",
   699→   699→   "Option 2": "C6H6",
   700→   700→   "Option 3": "C6H10",
   701→   701→   "Option 4": "C6H14",
   702→   702→   "Correct Option": "2.0",
   703→   703→   "Explanation": "बेंजीन एक चक्रीय हाइड्रोकार्बन है जिसका सूत्र $C_6H_6$ है, इसमें एक षटकोणीय वलय में एकांतर द्वि-बंध (alternate double bonds) होते हैं।",
   704→   704→   "Exam": "CBSE",
   705→   705→   "Year": "2021.0",
   706→   706→   "_sheet_row": 645
   707→   707→  },
   708→   708→  {
   709→   709→   "Subject": "Science",
   710→   710→   "Chapter No.": "4.0",
   711→   711→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   712→   712→   "Medium": "Hindi",
   713→   713→   "Question": "एल्काइन (Alkyne) समजातीय श्रेणी का सामान्य सूत्र क्या है?",
   714→   714→   "Option 1": "CnH2n+2",
   715→   715→   "Option 2": "CnH2n",
   716→   716→   "Option 3": "CnH2n-2",
   717→   717→   "Option 4": "CnHn",
   718→   718→   "Correct Option": "3.0",
   719→   719→   "Explanation": "एल्काइन में कार्बन परमाणुओं के बीच कम से कम एक त्रि-बंध होता है और वे $C_nH_{2n-2}$ सूत्र का पालन करते हैं।",
   720→   720→   "Exam": "UP Board",
   721→   721→   "Year": "2022.0",
   722→   722→   "_sheet_row": 646
   723→   723→  },
   724→   724→  {
   725→   725→   "Subject": "Science",
   726→   726→   "Chapter No.": "4.0",
   727→   727→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   728→   728→   "Medium": "Hindi",
   729→   729→   "Question": "बकमिनस्टरफुलरीन (Buckminsterfullerene) किसका अपररूप है?",
   730→   730→   "Option 1": "फास्फोरस",
   731→   731→   "Option 2": "सल्फर",
   732→   732→   "Option 3": "कार्बन",
   733→   733→   "Option 4": "टिन",
   734→   734→   "Correct Option": "3.0",
   735→   735→   "Explanation": "फुलरीन ($C_{60}$) कार्बन का एक अपररूप है जिसका आकार फुटबॉल जैसा होता है, इसका नाम वास्तुकार बकमिनस्टर फुलर के नाम पर रखा गया है।",
   736→   736→   "Exam": "CBSE",
   737→   737→   "Year": "2017.0",
   738→   738→   "_sheet_row": 647
   739→   739→  },
   740→   740→  {
   741→   741→   "Subject": "Science",
   742→   742→   "Chapter No.": "4.0",
   743→   743→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   744→   744→   "Medium": "Hindi",
   745→   745→   "Question": "प्रोपेनोन (Propanone) में मौजूद कार्यात्मक समूह (Functional group) कौन सा है?",
   746→   746→   "Option 1": "एल्डिहाइड",
   747→   747→   "Option 2": "अल्कोहल",
   748→   748→   "Option 3": "कीटोन",
   749→   749→   "Option 4": "कार्बोक्सिलिक अम्ल",
   750→   750→   "Correct Option": "3.0",
   751→   751→   "Explanation": "प्रोपेनोन ($CH_3COCH_3$) में कार्बोनिल समूह ($>C=O$) श्रृंखला के बीच में होता है, जो इसे एक कीटोन बनाता है।",
   752→   752→   "Exam": "CBSE",
   753→   753→   "Year": "2023.0",
   754→   754→   "_sheet_row": 648
   755→   755→  },
   756→   756→  {
   757→   757→   "Subject": "Science",
   758→   758→   "Chapter No.": "4.0",
   759→   759→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   760→   760→   "Medium": "Hindi",
   761→   761→   "Question": "एक समजातीय श्रेणी के दो क्रमिक सदस्यों के आणविक द्रव्यमान में कितना अंतर होता है?",
   762→   762→   "Option 1": "12 u",
   763→   763→   "Option 2": "14 u",
   764→   764→   "Option 3": "16 u",
   765→   765→   "Option 4": "28 u",
   766→   766→   "Correct Option": "2.0",
   767→   767→   "Explanation": "क्रमिक सदस्य एक $-CH_2$ समूह द्वारा भिन्न होते हैं। द्रव्यमान = 12 (C) + 2 (H) = 14 u।",
   768→   768→   "Exam": "CBSE",
   769→   769→   "Year": "2021.0",
   770→   770→   "_sheet_row": 649
   771→   771→  },
   772→   772→  {
   773→   773→   "Subject": "Science",
   774→   774→   "Chapter No.": "4.0",
   775→   775→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   776→   776→   "Medium": "Hindi",
   777→   777→   "Question": "पेंटेन का आणविक सूत्र $C_5H_{12}$ है। इसमें हैं:",
   778→   778→   "Option 1": "5 सहसंयोजक बंध",
   779→   779→   "Option 2": "12 सहसंयोजक बंध",
   780→   780→   "Option 3": "16 सहसंयोजक बंध",
   781→   781→   "Option 4": "17 सहसंयोजक बंध",
   782→   782→   "Correct Option": "3.0",
   783→   783→   "Explanation": "पेंटेन में, 4 C-C बंध और 12 C-H बंध होते हैं। अतः $4 + 12 = 16$।",
   784→   784→   "Exam": "CBSE",
   785→   785→   "Year": "2020.0",
   786→   786→   "_sheet_row": 650
   787→   787→  },
   788→   788→  {
   789→   789→   "Subject": "Science",
   790→   790→   "Chapter No.": "4.0",
   791→   791→   "Chapter Name": "कार्बन एवं उसके यौगिक",
   792→   792→   "Medium": "Hindi",
   793→   793→   "Question": "सिरका (Vinegar) किसका विलयन है?",
   794→   794→   "Option 1": "अल्कोहल में 50-60% एसिटिक अम्ल",
   795→   795→   "Option 2": "अल्कोहल में 5-8% एसिटिक अम्ल",
   796→   796→   "Option 3": "जल में 5-8% एसिटिक अम्ल",
   797→   797→   "Option 4": "जल में 50-60% एसिटिक अम्ल",
   798→   798→   "Correct Option": "3.0",
   799→   799→   "Explanation": "जल में एसिटिक अम्ल (एथेनोइक अम्ल) के तनु विलयन को व्यावसायिक रूप से सिरका कहा जाता है।",
   800→   800→   "Exam": "Bihar Board",
   801→   801→   "Year": "2021.0",
   802→   802→   "_sheet_row": 651
   803→   803→  }
   804→   804→ ]
   805→   805→}
